Location,Crop,Yr,Site_Crop_Yr,Rep,Termination,EU,weed_paper,LatePRE,Biomass,Field_Bio
Arlington,Corn,2020,ARL_CN_20,3,Plant,309,Y,N,17.26,619.28269
Arlington,Corn,2020,ARL_CN_20,4,Plant,406,Y,N,14.51,520.6136635
Arlington,Soybean,2019,ARL_SB_19,1,Early,106,N,N,3.3,118.35252
Arlington,Soybean,2019,ARL_SB_19,2,Early,203,N,N,2.1,75.31524
Arlington,Soybean,2019,ARL_SB_19,2,Early,207,N,N,1.3,46.62372
Arlington,Soybean,2019,ARL_SB_19,3,Early,311,N,N,2.6,93.24744
Arlington,Soybean,2019,ARL_SB_19,3,Early,312,N,N,1.9,68.14236
Arlington,Soybean,2019,ARL_SB_19,4,Early,401,N,N,1.6,57.38304
Arlington,Soybean,2019,ARL_SB_19,4,Early,411,N,N,1.9,68.14236
Arlington,Soybean,2019,ARL_SB_19,1,Late,109,N,N,99,3550.5756
Arlington,Soybean,2019,ARL_SB_19,1,Late,110,N,Y,103,3694.0332
Arlington,Soybean,2019,ARL_SB_19,2,Late,202,N,Y,155,5558.982
Arlington,Soybean,2019,ARL_SB_19,2,Late,205,N,N,65,2331.186
Arlington,Soybean,2019,ARL_SB_19,3,Late,306,N,Y,41,1470.4404
Arlington,Soybean,2019,ARL_SB_19,3,Late,307,N,N,90,3227.796
Arlington,Soybean,2019,ARL_SB_19,4,Late,405,N,Y,54,1936.6776
Arlington,Soybean,2019,ARL_SB_19,4,Late,412,N,N,67,2402.9148
Arlington,Soybean,2019,ARL_SB_19,1,Plant,106,N,N,1,35.8644
Arlington,Soybean,2019,ARL_SB_19,1,Plant,108,Y,N,5,179.322
Arlington,Soybean,2019,ARL_SB_19,2,Plant,203,N,N,3,107.5932
Arlington,Soybean,2019,ARL_SB_19,2,Plant,201,Y,N,1,35.8644
Arlington,Soybean,2019,ARL_SB_19,3,Plant,310,Y,N,11,394.5084
Arlington,Soybean,2019,ARL_SB_19,3,Plant,312,N,N,1,35.8644
Arlington,Soybean,2019,ARL_SB_19,4,Plant,404,Y,N,15,537.966
Arlington,Soybean,2019,ARL_SB_19,4,Plant,411,N,N,3,107.5932
Arlington,Soybean,2019,ARL_SB_19,1,Early,105,N,N,2.8,100.42032
Lancaster,Corn,2019,LAN_CN_19,1,Early,103,N,N,4.65,166.76946
Lancaster,Corn,2019,LAN_CN_19,1,Early,109,N,N,2.78,99.703032
Lancaster,Corn,2019,LAN_CN_19,2,Early,203,N,N,4.03,144.533532
Lancaster,Corn,2019,LAN_CN_19,2,Early,207,N,N,4.11,147.402684
Lancaster,Corn,2019,LAN_CN_19,3,Early,302,N,N,2.82,101.137608
Lancaster,Corn,2019,LAN_CN_19,3,Early,310,N,N,5.37,192.591828
Lancaster,Corn,2019,LAN_CN_19,4,Early,403,N,N,5.03,180.397932
Lancaster,Corn,2019,LAN_CN_19,4,Early,408,N,N,4.65,166.76946
Lancaster,Corn,2019,LAN_CN_19,1,Late,112,N,Y,175,6276.27
Lancaster,Corn,2019,LAN_CN_19,2,Late,205,N,Y,198,7101.1512
Lancaster,Corn,2019,LAN_CN_19,3,Late,312,N,Y,187,6706.6428
Lancaster,Corn,2019,LAN_CN_19,4,Late,407,N,Y,133,4769.9652
Lancaster,Corn,2019,LAN_CN_19,1,Late,106,N,N,163,5845.8972
Lancaster,Corn,2019,LAN_CN_19,2,Late,202,N,N,96,3442.9824
Lancaster,Corn,2019,LAN_CN_19,3,Late,301,N,N,140,5021.016
Lancaster,Corn,2019,LAN_CN_19,4,Late,406,N,N,214,7674.9816
Lancaster,Corn,2019,LAN_CN_19,1,Plant,103,N,N,2,71.7288
Lancaster,Corn,2019,LAN_CN_19,1,Plant,104,Y,N,20,717.288
Lancaster,Corn,2019,LAN_CN_19,1,Plant,105,N,N,18,645.5592
Lancaster,Corn,2019,LAN_CN_19,2,Plant,203,N,N,6,215.1864
Lancaster,Corn,2019,LAN_CN_19,2,Plant,206,Y,N,28,1004.2032
Lancaster,Corn,2019,LAN_CN_19,2,Plant,208,N,N,14,502.1016
Lancaster,Corn,2019,LAN_CN_19,3,Plant,305,Y,N,26,932.4744
Lancaster,Corn,2019,LAN_CN_19,3,Plant,307,N,N,26,932.4744
Lancaster,Corn,2019,LAN_CN_19,4,Plant,401,Y,N,14,502.1016
Lancaster,Corn,2019,LAN_CN_19,4,Plant,404,N,N,23,824.8812
Lancaster,Corn,2019,LAN_CN_19,4,Plant,408,N,N,5,179.322
Lancaster,Corn,2019,LAN_CN_19,3,Plant,310,N,N,5,179.322
Lancaster,Corn,2020,LAN_CN_20,1,Early,103,N,N,10.99,394.3173095
Lancaster,Corn,2020,LAN_CN_20,1,Early,109,N,N,12.3,441.3196458
Lancaster,Corn,2020,LAN_CN_20,2,Early,203,N,N,15.21,545.7294157
Lancaster,Corn,2020,LAN_CN_20,2,Early,207,N,N,36.55,1311.401061
Lancaster,Corn,2020,LAN_CN_20,3,Early,302,N,N,11.94,428.4029732
Lancaster,Corn,2020,LAN_CN_20,3,Early,310,N,N,11.2,401.8520352
Lancaster,Corn,2020,LAN_CN_20,4,Early,403,N,N,13.96,500.8798582
Lancaster,Corn,2020,LAN_CN_20,4,Early,408,N,N,29.62,1062.755115
Lancaster,Corn,2020,LAN_CN_20,1,Late,106,N,N,106.86,3834.098972
Lancaster,Corn,2020,LAN_CN_20,1,Late,112,N,Y,61.68,2213.056565
Lancaster,Corn,2020,LAN_CN_20,2,Late,202,N,N,133.78,4799.979042
Lancaster,Corn,2020,LAN_CN_20,2,Late,205,N,Y,149.88,5377.641342
Lancaster,Corn,2020,LAN_CN_20,3,Late,301,N,N,88.31,3168.531538
Lancaster,Corn,2020,LAN_CN_20,3,Late,312,N,Y,147.19,5281.125095
Lancaster,Corn,2020,LAN_CN_20,4,Late,406,N,N,157.94,5666.831289
Lancaster,Corn,2020,LAN_CN_20,4,Late,407,N,Y,169.74,6090.211112
Lancaster,Corn,2020,LAN_CN_20,1,Plant,104,Y,N,37.62,1349.792283
Lancaster,Corn,2020,LAN_CN_20,2,Plant,206,Y,N,44.04,1580.13961
Lancaster,Corn,2020,LAN_CN_20,3,Plant,305,Y,N,54.48,1954.723114
Lancaster,Corn,2020,LAN_CN_20,4,Plant,401,Y,N,28.31,1015.752778
Lancaster,Soybean,2019,LAN_SB_19,1,Early,103,N,N,5.61,201.199284
Lancaster,Soybean,2019,LAN_SB_19,1,Early,109,N,N,3.2,114.76608
Lancaster,Soybean,2019,LAN_SB_19,2,Early,203,N,N,5.07,181.832508
Lancaster,Soybean,2019,LAN_SB_19,2,Early,207,N,N,3.96,142.023024
Lancaster,Soybean,2019,LAN_SB_19,3,Early,302,N,N,4.5,161.3898
Lancaster,Soybean,2019,LAN_SB_19,3,Early,310,N,N,5.14,184.343016
Lancaster,Soybean,2019,LAN_SB_19,4,Early,403,N,N,4.09,146.685396
Lancaster,Soybean,2019,LAN_SB_19,4,Early,408,N,N,7.75,277.9491
Lancaster,Soybean,2019,LAN_SB_19,1,Late,106,N,N,103,3694.0332
Lancaster,Soybean,2019,LAN_SB_19,2,Late,202,N,N,34,1219.3896
Lancaster,Soybean,2019,LAN_SB_19,3,Late,301,N,N,116,4160.2704
Lancaster,Soybean,2019,LAN_SB_19,4,Late,406,N,N,119,4267.8636
Lancaster,Soybean,2019,LAN_SB_19,1,Late,112,N,Y,107,3837.4908
Lancaster,Soybean,2019,LAN_SB_19,2,Late,205,N,Y,107,3837.4908
Lancaster,Soybean,2019,LAN_SB_19,3,Late,312,N,Y,115,4124.406
Lancaster,Soybean,2019,LAN_SB_19,1,Plant,103,N,N,6,215.1864
Lancaster,Soybean,2019,LAN_SB_19,1,Plant,104,Y,N,6,215.1864
Lancaster,Soybean,2019,LAN_SB_19,1,Plant,105,N,N,22,789.0168
Lancaster,Soybean,2019,LAN_SB_19,2,Plant,203,N,N,2,71.7288
Lancaster,Soybean,2019,LAN_SB_19,2,Plant,206,Y,N,16,573.8304
Lancaster,Soybean,2019,LAN_SB_19,2,Plant,208,N,N,16,573.8304
Lancaster,Soybean,2019,LAN_SB_19,3,Plant,305,Y,N,28,1004.2032
Lancaster,Soybean,2019,LAN_SB_19,3,Plant,307,N,N,11,394.5084
Lancaster,Soybean,2019,LAN_SB_19,3,Plant,310,N,N,3,107.5932
Lancaster,Soybean,2019,LAN_SB_19,4,Plant,401,Y,N,4,143.4576
Lancaster,Soybean,2019,LAN_SB_19,4,Plant,404,N,N,19,681.4236
Lancaster,Soybean,2019,LAN_SB_19,4,Plant,408,N,N,3,107.5932
Lancaster,Soybean,2020,LAN_SB_20,1,Early,103,N,N,4.58,164.3287787
Lancaster,Soybean,2020,LAN_SB_20,1,Early,109,N,N,9.32,334.3983007
Lancaster,Soybean,2020,LAN_SB_20,2,Early,203,N,N,9.15,328.2987609
Lancaster,Soybean,2020,LAN_SB_20,2,Early,207,N,N,24.82,890.5328137
Lancaster,Soybean,2020,LAN_SB_20,3,Early,302,N,N,6.66,238.9584424
Lancaster,Soybean,2020,LAN_SB_20,3,Early,310,N,N,12.79,458.9006723
Lancaster,Soybean,2020,LAN_SB_20,4,Early,403,N,N,6.65,238.5996459
Lancaster,Soybean,2020,LAN_SB_20,4,Early,408,N,N,11.27,404.3636104
Lancaster,Soybean,2020,LAN_SB_20,1,Late,106,N,N,87,3121.529202
Lancaster,Soybean,2020,LAN_SB_20,1,Late,112,N,Y,42.23,1515.197451
Lancaster,Soybean,2020,LAN_SB_20,2,Late,202,N,N,30.47,1093.252814
Lancaster,Soybean,2020,LAN_SB_20,2,Late,205,N,Y,27.09,971.9796101
Lancaster,Soybean,2020,LAN_SB_20,3,Late,301,N,N,44.3,1589.468318
Lancaster,Soybean,2020,LAN_SB_20,3,Late,312,N,Y,59.14,2121.922264
Lancaster,Soybean,2020,LAN_SB_20,4,Late,406,N,N,102.79,3688.068812
Lancaster,Soybean,2020,LAN_SB_20,4,Late,407,N,Y,61.6,2210.186194
Lancaster,Soybean,2020,LAN_SB_20,1,Plant,104,Y,N,21.93,786.8406368
Lancaster,Soybean,2020,LAN_SB_20,2,Plant,206,Y,N,26.76,960.139327
Lancaster,Soybean,2020,LAN_SB_20,3,Plant,305,Y,N,23.81,854.2943713
Lancaster,Soybean,2020,LAN_SB_20,4,Plant,401,Y,N,15.81,567.2572033
